Statistical profiling result from isolate-0x1046a1000-5642-v8.log, (6527 ticks, 17 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    112    1.7%          /usr/lib/system/libsystem_malloc.dylib
     32    0.5%          /usr/lib/system/libsystem_platform.dylib
     30    0.5%          /usr/lib/system/libsystem_kernel.dylib
     14    0.2%          /usr/lib/system/libsystem_pthread.dylib
     11    0.2%          /usr/lib/libc++abi.dylib
      2    0.0%          /usr/lib/system/libsystem_c.dylib
      1    0.0%          /usr/lib/system/libdyld.dylib
      1    0.0%          /usr/lib/libc++.1.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     61    0.9%    1.0%  LazyCompile: *onwrite internal/streams/writable.js:394:17
     23    0.4%    0.4%  LazyCompile: *end _http_outgoing.js:769:45
     19    0.3%    0.3%  LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     19    0.3%    0.3%  LazyCompile: *emit events.js:264:44
     13    0.2%    0.2%  LazyCompile: *clearBuffer internal/streams/writable.js:493:21
     11    0.2%    0.2%  LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/context.js:107:10
     11    0.2%    0.2%  LazyCompile: *Socket net.js:268:16
      9    0.1%    0.1%  LazyCompile: *afterWriteTick internal/streams/writable.js:451:24
      8    0.1%    0.1%  LazyCompile: *writeOrBuffer internal/streams/writable.js:334:23
      8    0.1%    0.1%  LazyCompile: *noop internal/util/debuglog.js:45:14
      7    0.1%    0.1%  LazyCompile: *parserOnHeadersComplete _http_common.js:75:33
      7    0.1%    0.1%  LazyCompile: *connectionListenerInternal _http_server.js:418:36
      6    0.1%    0.1%  LazyCompile: *get headerSent /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/response.js:225:17
      6    0.1%    0.1%  LazyCompile: *afterShutdown net.js:428:23
      6    0.1%    0.1%  LazyCompile: *Socket._destroy net.js:653:37
      6    0.1%    0.1%  LazyCompile: *Readable.on internal/streams/readable.js:857:33
      5    0.1%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      5    0.1%    0.1%  LazyCompile: *parserOnIncoming _http_server.js:809:26
      5    0.1%    0.1%  LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:199:10
      5    0.1%    0.1%  LazyCompile: *onFinish _http_outgoing.js:764:18
      5    0.1%    0.1%  LazyCompile: *nextTick internal/process/task_queues.js:101:18
      5    0.1%    0.1%  LazyCompile: *finishMaybe internal/streams/writable.js:635:21
      5    0.1%    0.1%  LazyCompile: *defaultTriggerAsyncIdScope internal/async_hooks.js:421:36
      5    0.1%    0.1%  LazyCompile: *data /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/server/get-data.js:5:34
      5    0.1%    0.1%  LazyCompile: *assignSocket _http_server.js:220:62
      5    0.1%    0.1%  LazyCompile: *WritableState internal/streams/writable.js:67:23
      4    0.1%    0.1%  LazyCompile: *socketListenerWrap _http_server.js:923:37
      4    0.1%    0.1%  LazyCompile: *set length /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/response.js:193:13
      4    0.1%    0.1%  LazyCompile: *onceWrapper events.js:416:21
      4    0.1%    0.1%  LazyCompile: *handleRequest /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:162:16
      4    0.1%    0.1%  LazyCompile: *attachFinishedListener /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/on-finished/index.js:90:32
      4    0.1%    0.1%  LazyCompile: *Readable.read internal/streams/readable.js:390:35
      3    0.0%    0.0%  RegExp: ^
      3    0.0%    0.0%  LazyCompile: *warn internal/console/constructor.js:362:7
      3    0.0%    0.0%  LazyCompile: *set status /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/response.js:83:13
      3    0.0%    0.0%  LazyCompile: *resume_ internal/streams/readable.js:965:17
      3    0.0%    0.0%  LazyCompile: *resOnFinish _http_server.js:756:21
      3    0.0%    0.0%  LazyCompile: *get writable /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/response.js:525:15
      3    0.0%    0.0%  LazyCompile: *endReadableNT internal/streams/readable.js:1320:23
      3    0.0%    0.0%  LazyCompile: *dispatch /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa-compose/index.js:35:23
      3    0.0%    0.0%  LazyCompile: *_storeHeader _http_outgoing.js:360:22
      3    0.0%    0.0%  LazyCompile: *_send _http_outgoing.js:305:49
      3    0.0%    0.0%  LazyCompile: *EventEmitter.init events.js:131:29
      3    0.0%    0.0%  LazyCompile: *<anonymous> net.js:671:24
      3    0.0%    0.0%  LazyCompile: *<anonymous> net.js:1007:73
      2    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      2    0.0%    0.0%  LazyCompile: *writeHead _http_server.js:250:19
      2    0.0%    0.0%  LazyCompile: *value internal/console/constructor.js:258:20
      2    0.0%    0.0%  LazyCompile: *set type /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/response.js:310:11
      2    0.0%    0.0%  LazyCompile: *set path /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/request.js:155:11
      2    0.0%    0.0%  LazyCompile: *readableAddChunk internal/streams/readable.js:231:26
      2    0.0%    0.0%  LazyCompile: *processPromiseRejections internal/process/promises.js:190:34
      2    0.0%    0.0%  LazyCompile: *onerror /Users/qscbfe/qsccode/diy/myprojectawsome/diy/learnnode/36/node_modules/koa/lib/application.js:165:21
